Latitude,Longitude,Risk_Level,High_Risk_Prob
42.281879194630875,-53.194630872483216,HIGH,0.5783
42.281879194630875,-52.5973154362416,HIGH,0.5783
42.281879194630875,-52.0,HIGH,0.5783
42.56375838926174,-141.0,HIGH,0.6598
42.56375838926174,-140.40268456375838,HIGH,0.6598
42.56375838926174,-139.80536912751677,HIGH,0.6598
42.56375838926174,-139.20805369127515,HIGH,0.6598
42.56375838926174,-138.61073825503357,HIGH,0.6631
42.56375838926174,-138.01342281879195,HIGH,0.659
42.56375838926174,-137.41610738255034,HIGH,0.659
42.56375838926174,-136.81879194630872,HIGH,0.659
42.56375838926174,-136.2214765100671,HIGH,0.659
42.56375838926174,-135.6241610738255,HIGH,0.659
42.56375838926174,-135.0268456375839,HIGH,0.6655
42.56375838926174,-134.4295302013423,HIGH,0.6655
42.56375838926174,-133.83221476510067,HIGH,0.6655
42.56375838926174,-133.23489932885906,HIGH,0.6655
42.56375838926174,-132.63758389261744,HIGH,0.6655
42.56375838926174,-132.04026845637583,HIGH,0.6655
42.56375838926174,-131.44295302013424,HIGH,0.6655
42.56375838926174,-130.84563758389262,HIGH,0.6655
42.56375838926174,-130.248322147651,HIGH,0.6655
42.56375838926174,-129.6510067114094,HIGH,0.6655
42.56375838926174,-129.05369127516778,HIGH,0.6655
42.56375838926174,-128.45637583892616,HIGH,0.6655
42.56375838926174,-127.85906040268456,HIGH,0.6655
42.56375838926174,-127.26174496644295,HIGH,0.6655
42.56375838926174,-126.66442953020135,HIGH,0.6655
42.56375838926174,-126.06711409395973,HIGH,0.6655
42.56375838926174,-125.46979865771812,HIGH,0.6432
42.56375838926174,-124.87248322147651,HIGH,0.6752
42.56375838926174,-124.2751677852349,HIGH,0.6737
42.56375838926174,-123.67785234899328,HIGH,0.6737
42.56375838926174,-123.08053691275168,HIGH,0.6737
42.56375838926174,-122.48322147651007,HIGH,0.6737
42.56375838926174,-121.88590604026845,HIGH,0.6737
42.56375838926174,-121.28859060402684,HIGH,0.6737
42.56375838926174,-120.69127516778524,HIGH,0.6737
42.56375838926174,-120.09395973154362,HIGH,0.6737
42.56375838926174,-119.49664429530202,HIGH,0.6737
42.56375838926174,-118.8993288590604,HIGH,0.6737
42.56375838926174,-118.30201342281879,HIGH,0.6766
42.56375838926174,-117.70469798657717,HIGH,0.6609
42.56375838926174,-117.10738255033557,HIGH,0.6584
42.56375838926174,-116.51006711409396,HIGH,0.666
42.56375838926174,-115.91275167785236,HIGH,0.6545
42.56375838926174,-115.31543624161074,HIGH,0.6125
42.56375838926174,-114.71812080536913,HIGH,0.6163
42.56375838926174,-114.12080536912751,HIGH,0.6163
42.56375838926174,-113.52348993288591,HIGH,0.6038
42.56375838926174,-112.9261744966443,HIGH,0.6038
42.56375838926174,-112.32885906040269,HIGH,0.5944
42.56375838926174,-111.73154362416108,HIGH,0.5944
42.56375838926174,-111.13422818791946,HIGH,0.5944
42.56375838926174,-110.53691275167785,HIGH,0.5958
42.56375838926174,-109.93959731543625,HIGH,0.5958
42.56375838926174,-109.34228187919463,HIGH,0.5958
42.56375838926174,-108.74496644295303,HIGH,0.5958
